DateTime,AddedIPs,RemovedIPs
1546344044,87,27
1546345939,30,18
1546347880,28,14
1546349770,25,21
1546351945,28,15
1546353862,22,11
1546355798,20,18
1546357692,25,24
1546359643,17,7
1546361539,10,11
1546363454,12,557
1546365397,10,391
1546367295,51,12
1546370442,28,29
1546372354,16,32
1546374271,28,14
1546376171,21,12
1546378364,19,11
1546380267,16,12
1546382190,18,7
1546384113,9,8
1546386018,12,6
1546388202,742,7
1546390337,1048,12
1546392286,786,81
1546394183,931,4
1546396092,919,7
1546398029,4,9
1546399941,5,7
1546401876,8,5
1546403775,11,116
1546405704,8,22
1546407615,6,25
1546409781,6,58
1546411938,6,59
1546413850,15,39
1546415817,10,42
1546417691,10,16
1546419661,21,12
1546421556,17,12
1546423481,9,12
1546425404,7,25
1546427313,27,19
1546429240,23,25
1546431151,477,120
1546433051,23,20
1546435003,15,16
1546436912,14,26
1546438825,14,19
1546440755,20,33
1546442664,28,15
1546444572,30,12
1546446505,45,16
1546448453,38,8
1546450337,14,12
1546452275,14,15
1546454201,15,10
1546456112,17,18
1546458259,72,15
1546460446,14,33
1546462327,1,56
1546464251,6,11
1546466178,18,14
1546468345,22,9
1546470287,23,12
1546472420,12,10
1546474363,22,590
1546476290,15,1043
1546478457,90,802
1546480341,5,928
1546482516,11,1053
1546485649,17,8
1546487555,19,9
1546489485,6,9
1546491411,2,8
1546493298,2,9
1546495098,11,4
1546497166,14,18
1546499074,25,60
1546500998,15,14
1546502895,12,17
1546504849,5,11
1546506731,11,18
1546508676,14,15
1546510589,8,11
1546512517,17,10
1546514414,11,24
1546516340,17,32
1546518252,16,572
1546520199,33,25
1546522363,136,18
1546524527,31,27
1546526420,38,17
1546528368,19,60
1546530263,15,35
1546532209,10,37
1546534373,44,48
1546536264,22,24
1546538190,22,18
1546540349,24,12
1546542285,25,24
1546544204,852,72
1546546348,796,14
1546548260,792,7
1546550214,948,6
1546552096,866,20
1546554030,903,15
1546555957,158,25
1546557856,20,11
1546560089,23,16
1546561947,9,15
1546563879,15,11
1546565787,9,63
1546567716,26,5
1546569612,4,14
1546571551,24,6
1546573477,35,15
1546575636,15,12
1546577574,11,2
1546579459,15,4
1546581402,8,12
1546583297,5,40
1546585314,18,64
1546587182,13,16
1546589066,10,38
1546590998,8,5
1546592904,7,12
1546594820,11,15
1546596784,5,11
1546598693,8,20
1546600580,27,24
1546602518,8,27
1546604432,9,27
1546606393,8,51
1546608279,10,189
1546610173,10,36
1546612116,8,45
1546614271,84,29
1546616445,140,22
1546618586,9,15
1546620783,11,52
1546622680,29,26
1546624604,13,26
1546626498,11,38
1546628488,12,42
1546630608,9,919
1546632772,49,854
1546634655,3,823
1546636585,11,996
1546638505,5,929
1546640454,7,970
1546642359,5,154
1546644262,12,27
1546646202,5,26
1546648010,6,36
1546650029,12,15
1546651942,5,15
1546653865,10,28
1546655795,8,26
1546657960,8,47
1546659856,10,81
1546662044,14,32
1546663954,10,10
1546665871,8,13
1546667769,10,9
1546669573,7,17
1546672597,14,83
1546674498,7,18
1546676679,8,14
1546678583,10,11
1546680493,9,19
1546682449,15,15
1546684362,9,16
1546686279,15,51
1546688170,10,15
1546690098,8,19
1546692006,20,12
1546693948,14,12
1546696105,25,18
1546698036,7,18
1546700141,12,14
1546702090,21,14
1546704047,12,11
1546705984,5,13
1546707869,8,18
1546709768,10,35
1546711697,7,13
1546713615,7,25
1546715528,271,20
1546717473,338,11
1546719383,357,199
1546721316,13,4
1546723214,16,13
1546725154,14,6
1546727072,7,7
1546729254,17,9
1546731188,8,7
1546733084,15,7
1546734969,7,7
1546737139,20,13
1546739326,13,5
1546741218,10,17
1546743423,11,5
1546745548,6,13
1546747464,3,12
1546749622,12,10
1546751546,8,7
1546753457,13,10
1546755369,8,3
1546757336,8,8
1546759243,6,5
1546761135,4,7
1546763087,4,8
1546764971,9,10
1546766896,4,12
1546768833,6,12
1546770867,152,8
1546773162,7,10
1546775057,9,10
1546776992,14,9
1546779140,26,10
1546781074,10,14
1546782976,17,31
1546784895,66,39
1546787072,42,12
1546789497,124,21
1546791912,98,10
1546793784,1040,6
1546795719,439,11
1546797633,215,10
1546799542,20,6
1546801479,19,6
1546803324,6,7
1546805325,7,14
1546807224,52,12
1546809168,31,21
1546811058,24,15
1546813278,41,9
1546815158,20,17
1546817077,17,11
1546818980,214,13
1546821150,1080,9
1546823307,813,17
1546825257,888,7
1546827188,719,9
1546829092,632,8
1546831005,7,3
1546833183,11,41
1546835059,10,4
1546837004,15,7
1546838948,16,8
1546840911,5,6
1546842776,5,8
1546844685,8,6
1546846579,13,5
1546848519,15,4
1546850416,9,4
1546852345,7,3
1546854274,11,4
1546856208,9,90
1546858487,21,8
1546860490,25,5
1546862462,9,83
1546864368,25,212
1546866539,8,360
1546868415,8,297
1546870344,9,11
1546872289,11,4
1546874176,11,4
1546876363,13,6
1546878288,12,7
1546880198,105,725
1546882126,99,464
1546884032,202,358
1546885973,157,6
1546887884,42,7
1546890049,44,5
1546891938,6,5
1546893885,18,6
1546895786,13,7
1546897730,18,8
1546899624,986,6
1546901538,745,8
1546903468,583,4
1546905413,854,231
1546907565,686,1001
1546909462,747,655
1546911378,364,758
1546913568,9,836
1546915460,35,586
1546917406,14,6
1546919294,9,9
1546921216,11,10
1546923169,8,19
1546925083,4,12
1546926982,18,9
1546928934,16,7
1546931194,2,17
1546933250,17,16
1546935133,7,143
1546937053,7,10
1546938984,12,22
1546941152,44,14
1546943083,21,16
1546944981,11,17
